outil,tache,score_qualite,score_vitesse,score_facilite,note_globale
ChatGPT,Email,7,9,9,8.33
Claude,Email,7.5,7,9,7.83
Gemini,Email,5,8,8,7.0
Copilot,Email,8,8,8,8.0
ChatGPT,Resume,8,8,8,8.0
Claude,Resume,7,8,8,7.67
Gemini,Resume,7.5,8,7,7.5
Copilot,Resume,7,5,7,6.33
ChatGPT,Code,8,7,8,7.67
Claude,Code,8,9,9,8.67
Gemini,Code,7,6,7,6.67
Copilot,Code,7,7,7,7.0
ChatGPT,Traduction,8,8,8,8.0
Claude,Traduction,8,8,8,8.0
Gemini,Traduction,8.5,8,8,8.17
Copilot,Traduction,9,8,8,8.33
ChatGPT,Marketing,7,8,7,7.33
Claude,Marketing,8,6,8.5,7.5
Gemini,Marketing,7,6.5,7,6.83
Copilot,Marketing,7.5,7,8,7.5